# Adélka škola — Aplikovaná chemie 28-44-M/01, 2. ročník
# VOŠZ a SZŠ Praha 1, Alšovo nábřeží 6
# Formát: Otázka?;správná;špatná;špatná(;špatná);~vysvětlení

#TÉMA: Organická chemie — základy a vazby
Co jsou izomery?;látky se stejným sumárním vzorcem, ale jinou strukturou;látky se stejnou strukturou;látky se stejnou hmotností;látky ze stejné suroviny;~Například butan a isobutan mají oba C4H10.
Jak se dělí izomerie?;na konstituční a prostorovou;na pevnou a kapalnou;na kyselou a zásaditou;na rychlou a pomalou;~Konstituční se liší pořadím vazeb, prostorová uspořádáním.
Co je řetězová izomerie?;liší se tvarem uhlíkatého řetězce;liší se polohou skupiny;liší se funkční skupinou;liší se prostorově;~Butan versus 2-methylpropan.
Co je polohová izomerie?;liší se umístěním funkční skupiny;liší se délkou řetězce;liší se typem skupiny;liší se prostorově;~Propan-1-ol versus propan-2-ol.
Co je funkční izomerie?;liší se druhem funkční skupiny;liší se jen polohou;liší se počtem uhlíků;liší se prostorově;~Ethanol a dimethylether mají oba C2H6O.
Co je tautomerie?;rovnováha mezi dvěma izomery lišícími se polohou vodíku;stálá směs solí;typ oxidace;druh polymerace;~Klasickým příkladem je keto-enol tautomerie.
Jak se jinak říká prostorové izomerii?;stereoizomerie;konstituční izomerie;tautomerie;mesomerie;~Stereoizomery mají stejné pořadí vazeb, jiné uspořádání v prostoru.
Na čem je založena cis-trans izomerie?;na omezené rotaci kolem dvojné vazby;na volné rotaci;na chiralitě;na počtu uhlíků;~Pí vazba brání otáčení, substituenty zůstanou na jedné nebo opačné straně.
Co znamená označení cis?;substituenty jsou na stejné straně dvojné vazby;na opačných stranách;v jedné rovině;kolmo na sebe;~Latinsky cis znamená na této straně.
Co znamená označení trans?;substituenty jsou na opačných stranách;na stejné straně;nad sebou;v jedné přímce;~Trans izomery bývají obvykle stabilnější.
Které písmeno označuje cis podle E-Z názvosloví?;Z;E;R;S;~Z je z německého zusammen, tedy dohromady.
Které písmeno označuje trans podle E-Z názvosloví?;E;Z;R;S;~E je z německého entgegen, tedy naproti.
Co je chiralita?;vlastnost molekuly nesouměřitelné se svým zrcadlovým obrazem;souměrnost molekuly;schopnost hořet;polarita vazby;~Chirální molekula se nedá ztotožnit se svým odrazem, jako pravá a levá ruka.
Co je asymetrický uhlík?;uhlík se čtyřmi různými substituenty;uhlík se čtyřmi vodíky;uhlík v cyklu;uhlík s dvojnou vazbou;~Bývá označován hvězdičkou a je zdrojem optické aktivity.
Co jsou enantiomery?;zrcadlové izomery, které nelze ztotožnit;stejné molekuly;izomery lišící se řetězcem;polymery;~Liší se jen směrem stáčení roviny polarizovaného světla.
Co je racemická směs?;směs obou enantiomerů v poměru 1:1;čistý jeden enantiomer;směs polymerů;směs solí;~Racemát je opticky neaktivní, účinky se ruší.
Čím se měří optická aktivita?;polarimetrem;refraktometrem;spektrofotometrem;pH metrem;~Polarimetr měří úhel stočení roviny polarizovaného světla.
Proč je chiralita důležitá ve farmacii?;enantiomery mohou mít různý účinek na organismus;nemá žádný význam;ovlivňuje jen barvu;mění molární hmotnost;~Jeden enantiomer může léčit a druhý být neúčinný nebo škodlivý.
Co jsou diastereomery?;stereoizomery, které nejsou zrcadlové obrazy;zrcadlové obrazy;konstituční izomery;stejné látky;~Mají odlišné fyzikální vlastnosti, dají se oddělit destilací.
Kolik stereoizomerů má molekula se dvěma různými chirálními centry?;čtyři;dva;osm;jeden;~Počet je 2 na n, kde n je počet chirálních center.
Co je konformace?;prostorové uspořádání vzniklé otáčením kolem jednoduché vazby;pevná struktura;typ vazby;izomer řetězce;~Konformace přecházejí jedna v druhou bez štěpení vazeb.
Která konformace ethanu je nejstabilnější?;nezákrytová;zákrytová;planární;lineární;~V nezákrytové konformaci jsou vodíky nejdál od sebe.
Která konformace cyklohexanu je nejstabilnější?;židličková;vaničková;planární;zkřížená;~Židličková konformace nemá pnutí ve vazebných úhlech.
Kolik izomerů má butan?;dva;tři;čtyři;jeden;~Butan a 2-methylpropan.
Kolik konstitučních izomerů má pentan?;tři;dva;čtyři;pět;~Pentan, 2-methylbutan a 2,2-dimethylpropan.

#TÉMA: Organická chemie — alkany a cykloalkany
Jaký je obecný vzorec alkanů?;CnH2n+2;CnH2n;CnH2n-2;CnHn;~Nasycený řetězec má maximum vodíků.
Jakou příponu mají alkany?;-an;-en;-yn;-ol;~Ethan, propan, butan.
Jak se nazývá alkan se třemi uhlíky?;propan;ethan;butan;methan;~Propan je hlavní složkou propan-butanových bomb.
Jak se nazývá alkan s pěti uhlíky?;pentan;butan;hexan;heptan;~Pent- je řecká předpona pro pět.
Jak se nazývá alkan s osmi uhlíky?;oktan;heptan;nonan;hexan;~Podle oktanu se odvozuje oktanové číslo benzinu.
V jakém skupenství jsou první čtyři alkany za normálních podmínek?;plynném;kapalném;pevném;kašovitém;~Methan až butan jsou plyny, od pentanu kapaliny.
Jak se mění teplota varu alkanů s délkou řetězce?;roste;klesá;nemění se;kolísá náhodně;~Delší řetězec znamená silnější van der Waalsovy síly.
Jak se mění teplota varu s větvením řetězce?;klesá;roste;nemění se;zdvojnásobí se;~Rozvětvená molekula má menší povrch pro mezimolekulové síly.
Jsou alkany rozpustné ve vodě?;ne, jsou nepolární;ano, dobře;jen za tepla;jen v kyselinách;~Platí pravidlo podobné se rozpouští v podobném.
Jaká je hlavní reakce alkanů?;radikálová substituce;elektrofilní adice;nukleofilní substituce;eliminace;~Alkany jsou málo reaktivní, reagují hlavně za světla nebo tepla.
Čím se iniciuje radikálová substituce alkanů?;ultrafialovým světlem nebo teplem;kyselinou;zásadou;vodou;~Vzniká radikál homolytickým štěpením vazby.
Jaké tři fáze má radikálová substituce?;iniciace, propagace, terminace;adice, eliminace, oxidace;start, oxidace, konec;příprava, reakce, čištění;~V terminaci se radikály spojí a reakce končí.
Co vzniká úplným spalováním alkanů?;oxid uhličitý a voda;oxid uhelnatý a saze;methanol;pouze voda;~Při nedostatku kyslíku vzniká jedovatý oxid uhelnatý.
Proč je nedokonalé spalování nebezpečné?;vzniká jedovatý oxid uhelnatý;vzniká kyselina;uvolňuje se chlor;vzniká méně tepla;~Oxid uhelnatý se váže na hemoglobin místo kyslíku.
Odkud se získávají alkany průmyslově?;z ropy a zemního plynu;z uhlí;z vápence;ze soli;~Ropa se dělí frakční destilací.
Jaká je hlavní složka zemního plynu?;methan;ethan;propan;butan;~Methanu bývá v zemním plynu přes 90 procent.
Jaký je obecný vzorec cykloalkanů?;CnH2n;CnH2n+2;CnH2n-2;CnHn;~Uzavřením cyklu se ztratí dva vodíky.
Který cykloalkan je nejstabilnější?;cyklohexan;cyklopropan;cyklobutan;cyklopentan;~Šestičlenný cyklus má ideální vazebné úhly.
Proč je cyklopropan velmi reaktivní?;kvůli velkému pnutí vazebných úhlů;kvůli dvojné vazbě;kvůli polaritě;kvůli velké hmotnosti;~Úhel 60 stupňů je daleko od ideálních 109,5.
Jak se nazývá substituent odvozený od methanu?;methyl;methylen;methin;methanid;~Odtržením jednoho vodíku vznikne CH3-.
Jak se nazývá substituent CH3-CH2-?;ethyl;methyl;propyl;vinyl;~Dvouuhlíkatý alkyl.
Jak se nazývá skupina (CH3)2CH-?;isopropyl;propyl;butyl;terc-butyl;~Systematicky propan-2-yl.
Co je oktanové číslo?;údaj o odolnosti paliva proti klepání motoru;počet uhlíků;hustota benzinu;teplota vzplanutí;~Referenční je isooktan se stem a heptan s nulou.
Který uhlovodík má oktanové číslo 100?;isooktan;heptan;oktan;benzen;~2,2,4-trimethylpentan je referenční látkou.
K čemu se používá parafin?;na svíčky a masti;jako palivo do tryskáčů;jako rozpouštědlo kyselin;na výrobu skla;~Parafin je směs vyšších pevných alkanů.
Co je to vazelína?;polotuhá směs uhlovodíků;kapalný alkan;aromatický uhlovodík;olej rostlinného původu;~Ve farmacii slouží jako mastný základ.

#TÉMA: Organická chemie — alkeny, alkadieny a alkyny
Jaký je obecný vzorec alkenů?;CnH2n;CnH2n+2;CnH2n-2;CnH2n+1;~Jedna dvojná vazba ubere dva vodíky oproti alkanu.
Jakou příponu mají alkeny?;-en;-an;-yn;-al;~Ethen, propen, buten.
Jak se dříve říkalo ethenu?;ethylen;acetylen;methylen;propylen;~Ethylen je triviální název stále běžný v průmyslu.
Kolik uhlíků má nejjednodušší alken?;dva;jeden;tři;čtyři;~Ethen CH2=CH2 je nejjednodušší.
Jaká je typická reakce alkenů?;elektrofilní adice;radikálová substituce;nukleofilní substituce;eliminace;~Dvojná vazba je bohatá na elektrony, přitahuje elektrofily.
Co vzniká adicí vodíku na alken?;alkan;alkyn;alkohol;halogenderivát;~Hydrogenace probíhá na katalyzátoru, například niklu.
Co vzniká adicí vody na alken?;alkohol;aldehyd;kyselina;ether;~Hydratace se provádí v kyselém prostředí.
Co vzniká adicí bromu na alken?;dibromalkan;bromalkan;alkohol;alkyn;~Odbarvení bromové vody je důkazem dvojné vazby.
Jak dokážeme přítomnost dvojné vazby?;odbarvením bromové vody;Fehlingovou zkouškou;plamennou zkouškou;lakmusem;~Používá se i odbarvení manganistanu draselného.
Co říká Markovnikovovo pravidlo?;vodík se váže na uhlík s více vodíky;vodík na uhlík s méně vodíky;vodík vždy doprava;halogen na terciární uhlík;~Vzniká stabilnější karbokation, proto je produkt hlavní.
Co je polymerace?;spojování malých molekul do makromolekuly;štěpení řetězce;oxidace;destilace;~Z ethenu vzniká polyethylen.
Který polymer vzniká z ethenu?;polyethylen;polypropylen;polystyren;PVC;~Nejrozšířenější plast na světě.
Který polymer vzniká z propenu?;polypropylen;polyethylen;PVC;teflon;~Používá se na obaly, textilie a laboratorní nádobí.
Který monomer dává PVC?;vinylchlorid;ethen;styren;propen;~Polyvinylchlorid se vyrábí z chlorethenu.
Který monomer dává polystyren?;styren;ethen;propen;butadien;~Styren je vinylbenzen.
Jaký je obecný vzorec alkynů?;CnH2n-2;CnH2n;CnH2n+2;CnHn;~Trojná vazba ubere čtyři vodíky oproti alkanu.
Jakou příponu mají alkyny?;-yn;-en;-an;-ol;~Ethyn, propyn, butyn.
Jak se běžně říká ethynu?;acetylen;ethylen;methan;propylen;~Acetylen se používá při svařování.
Jaká je teplota kyslíko-acetylenového plamene?;přes 3000 °C;kolem 500 °C;kolem 1000 °C;kolem 200 °C;~Proto se hodí na svařování a řezání kovů.
Z čeho se dříve vyráběl acetylen?;z karbidu vápníku a vody;z ropy;ze dřeva;z vápence pálením;~Reakcí CaC2 s vodou vzniká acetylen a hydroxid vápenatý.
Jaký tvar má molekula acetylenu?;lineární;lomený;tetraedrický;planární trojúhelníkový;~Hybridizace sp dává úhel 180 stupňů.
Co jsou alkadieny?;uhlovodíky se dvěma dvojnými vazbami;s jednou dvojnou vazbou;s trojnou vazbou;cyklické alkany;~Přípona -dien, například butadien.
Který dien je základem syntetického kaučuku?;buta-1,3-dien;propadien;penta-1,4-dien;isopren pouze;~Butadienový kaučuk je základ pneumatik.
Který dien tvoří přírodní kaučuk?;isopren;butadien;acetylen;styren;~Polyisopren se získává z latexu kaučukovníku.
Co jsou konjugované dvojné vazby?;střídají se s jednoduchými vazbami;jsou vedle sebe;jsou v cyklu;jsou trojné;~Konjugace stabilizuje molekulu delokalizací elektronů.
Co je vulkanizace?;síťování kaučuku sírou;tavení plastů;destilace ropy;spalování gumy;~Objevil ji Charles Goodyear, guma je pak pružná a pevná.

#TÉMA: Organická chemie — areny
Co je charakteristické pro areny?;aromatický kruh s delokalizovanými elektrony;trojná vazba;jen jednoduché vazby;obsah dusíku;~Delokalizace dodává mimořádnou stabilitu.
Jaký je vzorec benzenu?;C6H6;C6H12;C6H14;C5H6;~Šest uhlíků a šest vodíků v rovinném kruhu.
Kdo navrhl cyklickou strukturu benzenu?;Friedrich August Kekulé;Dmitrij Mendělejev;Antoine Lavoisier;Justus Liebig;~Podle pověsti ho inspiroval sen o hadovi kousajícím se do ocasu.
Jaký tvar má molekula benzenu?;rovinný pravidelný šestiúhelník;židličkový;lineární;tetraedrický;~Všechny vazby jsou stejně dlouhé, mezi jednoduchou a dvojnou.
Kolik delokalizovaných elektronů má benzen?;šest;čtyři;dva;dvanáct;~Podle Hückelova pravidla 4n+2 pro n=1.
Jaká je typická reakce arenů?;elektrofilní substituce;elektrofilní adice;radikálová adice;eliminace;~Substitucí se zachová stabilní aromatický kruh.
Proč areny raději substituují než adují?;adice by zrušila aromatický systém;jsou příliš těžké;nemají vodíky;jsou nepolární;~Zachování delokalizace je energeticky výhodné.
Jak se nazývá methylbenzen?;toluen;fenol;anilin;xylen;~Toluen je běžné rozpouštědlo.
Jak se nazývá dimethylbenzen?;xylen;toluen;styren;kumen;~Existuje ve třech polohových izomerech.
Jak se označuje poloha 1,2 na benzenovém jádře?;ortho;meta;para;ipso;~Sousední polohy se značí o-.
Jak se označuje poloha 1,3 na benzenovém jádře?;meta;ortho;para;ipso;~Přes jeden uhlík, značí se m-.
Jak se označuje poloha 1,4 na benzenovém jádře?;para;ortho;meta;ipso;~Naproti sobě, značí se p-.
Jak se nazývá hydroxyderivát benzenu?;fenol;anilin;benzaldehyd;toluen;~Fenol je slabá kyselina, dříve karbolová kyselina.
Jak se nazývá aminoderivát benzenu?;anilin;fenol;toluen;nitrobenzen;~Anilin je výchozí látka pro barviva a léčiva.
Jaký je název C6H5- skupiny?;fenyl;benzyl;tolyl;aryl;~Benzenové jádro jako substituent.
Který aren má dvě kondenzovaná jádra?;naftalen;benzen;anthracen;fenanthren;~Naftalen se používal do kuliček proti molům.
Který aren má tři jádra v řadě?;anthracen;naftalen;benzen;pyren;~Základ pro antrachinonová barviva.
Jsou polycyklické areny zdravotně nezávadné?;ne, mnohé jsou karcinogenní;ano, zcela;jen v potravinách;jen za tepla;~Benzo[a]pyren z kouře a spalin je silný karcinogen.
Je benzen zdraví škodlivý?;ano, je karcinogenní;ne, je neškodný;jen při požití;jen v plynné formě;~Poškozuje kostní dřeň, proto se nahrazuje toluenem.
Co je nitrace benzenu?;zavedení skupiny NO2;zavedení skupiny NH2;zavedení OH;odstranění vodíku;~Používá se směs kyseliny dusičné a sírové.
Co je sulfonace benzenu?;zavedení skupiny SO3H;zavedení NO2;zavedení Cl;zavedení CH3;~Reakce s dýmavou kyselinou sírovou.
Jak se jmenuje reakce zavádějící alkyl na benzen?;Friedelova-Craftsova alkylace;Kekulého reakce;Wurtzova reakce;Grignardova reakce;~Katalyzuje ji chlorid hlinitý.
Co je TNT?;2,4,6-trinitrotoluen;toluen;trinitrofenol;tetranitromethan;~Tritol je klasická trhavina.
Co je kyselina pikrová?;2,4,6-trinitrofenol;trinitrotoluen;kyselina benzoová;kyselina salicylová;~Žlutá výbušná látka, dříve i antiseptikum.
Odkud se areny průmyslově získávají?;z ropy a černouhelného dehtu;z vápence;z písku;z mořské vody;~Koksování uhlí a reformování ropných frakcí.

#TÉMA: Organická chemie — halogenderiváty
Co jsou halogenderiváty?;deriváty s atomem halogenu místo vodíku;deriváty s kyslíkem;deriváty s dusíkem;soli kyselin;~Fluor, chlor, brom nebo jod nahradí vodík.
Jakou příponu nebo předponu mají halogenderiváty?;fluor-, chlor-, brom-, jod-;-ol;-al;-amin;~Například chlormethan, 2-brompropan.
Jaká je typická reakce halogenderivátů?;nukleofilní substituce;elektrofilní adice;radikálová substituce;polymerace;~Halogen je dobrá odstupující skupina.
Co je nukleofil?;částice s volným elektronovým párem;částice s kladným nábojem;radikál;proton;~Nukleofil hledá kladné centrum, například OH- nebo NH3.
Co je elektrofil?;částice chudá na elektrony;částice bohatá na elektrony;neutrální molekula;radikál;~Elektrofil přijímá elektronový pár, například NO2+.
Co vzniká reakcí halogenderivátu s hydroxidem?;alkohol;aldehyd;kyselina;amin;~Nukleofilní substituce OH- za halogen.
Co vzniká reakcí halogenderivátu s amoniakem?;amin;alkohol;ether;ester;~Amoniak jako nukleofil nahradí halogen.
Co je eliminace u halogenderivátů?;odštěpení halogenovodíku za vzniku dvojné vazby;přidání vody;spojení dvou molekul;oxidace;~Dehydrohalogenace v alkalickém prostředí dá alken.
Který halogenderivát je znám jako chloroform?;trichlormethan;tetrachlormethan;dichlormethan;chlorethan;~Dříve používaná narkóza, dnes rozpouštědlo.
Jak se jmenuje CCl4?;tetrachlormethan;chloroform;dichlormethan;chlorethan;~Dříve hasicí médium, dnes zakázán pro toxicitu na játra.
Co je freon?;halogenderivát s fluorem a chlorem;přírodní olej;typ alkoholu;druh soli;~Freony poškozovaly ozonovou vrstvu, jsou omezeny Montrealským protokolem.
Který mezinárodní protokol omezil freony?;Montrealský;Kjótský;Pařížský;Ženevský;~Podepsán roku 1987 na ochranu ozonové vrstvy.
Co je teflon?;polytetrafluorethylen;polyvinylchlorid;polystyren;polyamid;~Mimořádně odolný, nesmáčivý, používá se na pánve i v laboratoři.
Který halogenderivát se používá jako inhalační anestetikum?;halothan;chlormethan;vinylchlorid;freon 12;~Moderní halogenované ethery nahradily starší éter.
Proč jsou vazby C-halogen polární?;halogen má vyšší elektronegativitu než uhlík;uhlík je elektronegativnější;jsou nepolární;kvůli velikosti atomu;~Uhlík nese částečný kladný náboj a je napadán nukleofilem.
Který halogenderivát je karcinogenní monomer PVC?;vinylchlorid;chlorethan;chloroform;chlorbenzen;~Práce s ním podléhá přísným hygienickým limitům.
Jsou halogenderiváty rozpustné ve vodě?;většinou špatně;výborně;jen za horka;jen v kyselinách;~Jsou to nepolární rozpouštědla, mísí se s tuky.

#TÉMA: Organická chemie — alkoholy, fenoly a ethery
Jaká funkční skupina je v alkoholech?;hydroxylová OH;karbonylová CO;karboxylová COOH;aminová NH2;~Skupina OH navázaná na uhlíku dává příponu -ol.
Jakou příponu mají alkoholy?;-ol;-al;-on;-an;~Methanol, ethanol, propanol.
Jak dělíme alkoholy podle uhlíku s OH skupinou?;primární, sekundární, terciární;kyselé a zásadité;lehké a těžké;polární a nepolární;~Rozhoduje počet uhlíků navázaných na nositele OH.
Co vzniká oxidací primárního alkoholu?;aldehyd;keton;kyselina rovnou;ether;~Dalším stupněm oxidace pak vzniká karboxylová kyselina.
Co vzniká oxidací sekundárního alkoholu?;keton;aldehyd;kyselina;ester;~Keton se dále běžně neoxiduje.
Lze snadno oxidovat terciární alkohol?;ne, chybí vodík na uhlíku s OH;ano, na aldehyd;ano, na keton;ano, na ether;~Oxidace by musela štěpit uhlíkatý řetězec.
Který alkohol je jedovatý a způsobuje slepotu?;methanol;ethanol;propan-2-ol;glycerol;~V těle se mění na formaldehyd a kyselinu mravenčí.
Jaká je smrtelná dávka methanolu?;řádově desítky mililitrů;několik litrů;jeden gram na kilogram;methanol není smrtelný;~Už kolem 30 ml může zabít, 10 ml oslepit.
Čím se léčí otrava methanolem?;podáním ethanolu;podáním vody;podáním octa;podáním soli;~Ethanol obsadí enzym a zabrání vzniku toxických metabolitů.
Jaký alkohol je v alkoholických nápojích?;ethanol;methanol;butanol;glycerol;~Vzniká kvašením cukrů.
Jak se nazývá dvojsytný alkohol používaný jako nemrznoucí směs?;ethylenglykol;glycerol;methanol;ethanol;~Je sladký a přitom velmi jedovatý.
Kolik hydroxylových skupin má glycerol?;tři;jednu;dvě;čtyři;~Propan-1,2,3-triol je základ tuků.
K čemu se glycerol používá ve farmacii?;jako zvlhčovadlo a základ mastí;jako dezinfekce;jako indikátor;jako katalyzátor;~Váže vodu, změkčuje pokožku.
Proč mají alkoholy vyšší teplotu varu než odpovídající alkany?;tvoří vodíkové můstky;jsou těžší;jsou nepolární;mají větší molekulu;~Vodíkové vazby je nutné rozrušit, což stojí energii.
Jsou nižší alkoholy mísitelné s vodou?;ano, neomezeně;ne, vůbec;jen za tepla;jen s kyselinami;~Skupina OH vytváří vodíkové vazby s vodou.
Jak se mění rozpustnost alkoholů ve vodě s délkou řetězce?;klesá;roste;nemění se;kolísá;~Nepolární část molekuly převáží nad polární OH skupinou.
Co je denaturovaný líh?;ethanol s přídavkem odpuzující látky;čistý ethanol;methanol;směs s vodou;~Denaturační přísada brání pití a daňovému úniku.
Kolik procent ethanolu má lékařský líh na dezinfekci?;kolem 70 %;100 %;30 %;10 %;~Sedmdesátiprocentní roztok proniká do buňky lépe než absolutní líh.
Co je fenol?;hydroxyderivát benzenu;alkohol s dlouhým řetězcem;keton;ester;~OH skupina je vázána přímo na aromatické jádro.
Je fenol kyselejší než alkoholy?;ano, výrazně;ne, je zásaditý;stejně kyselý;fenol není kyselý;~Aromatické jádro stabilizuje vzniklý fenolátový anion.
Jak se dříve říkalo fenolu?;kyselina karbolová;kyselina octová;kyselina mravenčí;lihová kyselina;~Joseph Lister ji zavedl jako první antiseptikum na operačních sálech.
Který lékař zavedl fenol jako antiseptikum?;Joseph Lister;Ignác Semmelweis;Louis Pasteur;Robert Koch;~Výrazně snížil úmrtnost po operacích.
Co je pyrokatechol?;benzen-1,2-diol;benzen-1,3-diol;benzen-1,4-diol;fenol;~Dvojsytný fenol v poloze ortho.
Co je hydrochinon?;benzen-1,4-diol;benzen-1,2-diol;benzen-1,3-diol;fenol;~Používá se ve fotografii jako vývojka a v kosmetice.
Jaká je funkční skupina etherů?;kyslík mezi dvěma uhlíky;OH skupina;COOH skupina;NH2 skupina;~Obecný vzorec R-O-R.
Který ether se používal jako narkóza?;diethylether;dimethylether;anisol;tetrahydrofuran;~Poprvé veřejně předveden roku 1846 v Bostonu.
Jaká je hlavní nebezpečnost diethyletheru v laboratoři?;je vysoce hořlavý a tvoří peroxidy;je žíravý;je radioaktivní;je nehořlavý;~Peroxidy mohou při destilaci explodovat, éter se skladuje v tmavé lahvi.
Tvoří ethery vodíkové vazby mezi sebou?;ne, chybí jim vodík na kyslíku;ano, silné;ano, slabé;jen za tepla;~Proto mají nižší teplotu varu než izomerní alkoholy.
Co vzniká dehydratací ethanolu při 170 °C?;ethen;diethylether;kyselina octová;acetaldehyd;~Při nižší teplotě kolem 140 °C vzniká ether.

#TÉMA: Organická chemie — aldehydy a ketony
Jaká skupina je společná aldehydům a ketonům?;karbonylová C=O;hydroxylová;karboxylová;aminová;~Souhrnně se nazývají karbonylové sloučeniny.
Kde je karbonylová skupina u aldehydů?;na konci řetězce;uprostřed řetězce;na cyklu;na dusíku;~Aldehydová skupina CHO má vždy vodík.
Kde je karbonylová skupina u ketonů?;uvnitř řetězce;na konci;mimo řetězec;na kyslíku;~Keton má karbonyl mezi dvěma uhlíky.
Jakou příponu mají aldehydy?;-al;-on;-ol;-ová kyselina;~Methanal, ethanal, propanal.
Jakou příponu mají ketony?;-on;-al;-ol;-yl;~Propanon, butanon.
Jak se běžně říká methanalu?;formaldehyd;acetaldehyd;aceton;benzaldehyd;~Vodný roztok se nazývá formalín.
Co je formalín?;vodný roztok formaldehydu;roztok acetonu;čistý ethanol;kyselina mravenčí;~Asi 35% roztok, používá se ke konzervaci preparátů.
Je formaldehyd zdravotně závadný?;ano, je karcinogenní;ne, je neškodný;jen v pevné formě;jen při styku s kůží;~Zařazen mezi prokázané lidské karcinogeny.
